,sentence
0,"The sentence you are given might be too wordy, complicated, or unclear. Rewrite the sentence and make your writing clearer by keeping it concise. Whenever possible, break complex sentences into multiple sentences and eliminate unnecessary words."
1,"Analyze the word choice, phrasing, punctuation, and capitalization in the given email. How may the writer of this email sound to the reader? These tones include Disheartening, Accusatory, Worried, Curious, Surprised, Disapproving, Unassuming, Formal, Assertive, Confident, Appreciative, Concerned, Sad, Informal, Regretful, Encouraging, Egocentric, Joyful, Optimistic, and Excited."
2,"Rewrite the given text and correct grammar, spelling, and punctuation errors."
3,"You are given a paper citation, convert it to the requested citation style."
4,"Desk jobs require writing a lot of emails, so it isn't surprising we get tired of repeating ourselves. Come up with several synonyms for the given word."
5,"If you could help me write an email to my friends inviting them to dinner on Friday, it would be greatly appreciated."
6,The tone of the email should be changed and rewritten in a more professional manner.
7,Write a social media post about the call for collaboration on a crowdsourcing project in a persuasive way.
8,My favorite witty review of The Rings of Power series is this:
9,A helpful writing exercise is writing a story without using adjectives or adverbs. This will help you learn to use other words and phrases to describe what you are trying to say. Here are some examples:
10,Come up with some search queries on google about coding stuff.
11,Discover the most relevant StackOverflow questions for your search term. And output a list of their URLs.
12,You are given an algorithm or a search query about coding. Look for a code snippet related to the search query.
13,"You are provided with a description of the code, specifications, or prompts. Your help is needed in automating code generation to speed up the development process."
14,"When you're stuck on a coding problem, the best place to look for help is in the documentation. Read the docs carefully and see if there's a section that covers your specific issue. Often, the answer will be right there in front of you. If not, try searching for key terms related to your problem. Come up with the useful links about the given search term."
15,"We have entered the home supplies budget in the following table. Calculate the last column with the given function and rewrite the completed table.
Note that, columns in a row are separated using a comma, and rows are separated using a ""|""."
16,Please write the Excel function name associated with each description.
17,What are the steps to using random (yet coherent) text as filler content within your Word document?
18,"Design a soothing pastel color palette for your slides. Pastel colors generally come across as pretty and delicate, so you’ll want to make sure your presentation calls for a similar mood. Choose up to five colors or color codes."
19,"I bought two shirts from the store and each one cost me $10. I also bought a pair of pants and they cost me $20. Then, I bought a dress and it cost me $30. Also,  I bought a pair of shoes and they cost me $40. Lastly, I bought a jacket and it cost me $50.

Make a table chart showing items, the number, and the price of these items. Separate columns with ""|""."
20,"Find sentences from reliable sources such as the Guardian or Forbes that contain the exact match for the given sentence or phrase. Also, mention the source of each sentence."
21,"During writing, we added an asterisk for the word that did not come to mind. You will need to provide several examples to demonstrate all the words that can be used in the sentence instead of the asterisk."
22,Think of alternatives and paraphrases for the underlined word.
23,Design a skill assessment questioner for R (Programming Language).
24,Write a template for First-Person LinkedIn profile summary.
25,Write a LinkedIn post to announce that you have accepted a new job offer.
26,Make a list of desirable Skills for software engineers to add to LinkedIn.
27,You will be asked to answer the following question as part of the LinkedIn Skill assessments.
28,"Take the title of the product and extract its attributes. The attributes in this case refer to the characteristics of the products, such as their brand and color. Your answer must a list following the format of ""attribute: value""."
29,You should write a Product Description that will persuade the buyer that the product is beneficial.
30,What other Amazon products might interest someone who visited the given product?
31,"Compare the given item with similar products based on its properties such as price, rating, etc. For product comparison, use a table and separate the columns with ""|""."
32,Write a  review based on the given information.
33,Write a short description about the given movie or series.
34,Think of some series or movies that would be enjoyable for someone who liked the given series.
35,Give examples of popular shows and movies in the genre.
36,In what genres does the given movie or series fall?
37,Give a brief description of the given category of movies and shows.
38,Provide an example of how a table of contents can be generated automatically in a LATEX document. Make sure your example contains the necessary commands.
39,Imagine you have a FEN notation of a chessboard. How can you draw a board to show this state of the chessboard in LATEX? Create a LATEX code that includes all the required commands and packages.
40,What is the output of the given LATEX code?
41,You should find a few LATEX templates appropriate for the task at hand and list the links to them.
42,"Write a simple guide for uploading the bibliography database
 on Overleaf."
43,Choose Spotify playlists that match the given mood. Provide a link to these playlists for easy access.
44,Curate a Spotify playlist based on the vibe. Publish this playlist as a song list.
45,How would you describe the meaning of this lyrics? Describe some of the metaphors.
46,Suggest some Audiobooks for First-Time Listeners. You can attract them by choosing popular works.
47,Make a list of the most popular podcasts.
48,You should take the time to read the situation and problem carefully and give the best advice you can.
49,You are given a description that provides a set of facts or a scenario. It is up to you to craft a story from these facts and scenarios. The missing pieces must be filled in with imaginative but logical information.
50,"Based on the given query, suggest some related search queries."
51,Please suggest a few papers to consider based on the search term given. The names of the papers should be listed.
52,Prepare an email signature template for the given person or company.
53,"React properly to reviews from your customers. In your responses, you can highlight your business' policies and customer service."
54,Write a good Twitter Bio. Try to cover all the provided main points in your generated bio.
55,We need to write a thematic tweet to share company news and facts. Please take a careful look at the facts and details provided and create a tweet based on them.
56,"A job description is a document that clearly states the requirements, duties, responsibilities, and skills required to perform a specific role. You need to write a job description based on the given information. You should describe responsibilities and duties in your job description in a logical order. Remember that potential employees often get their first impression of your company from your job description. So, the job description should convey the attractiveness of your company."
57,"Considering the reason for the rejection, write a polite rejection letter for rejecting a candidate."
58,We've already decided on the title and topic for our blog post. I would appreciate it if you wrote an introduction paragraph to attract the readers' attention.
59,Design an outline for a blog post based on the given information and list the sections accordingly.
60,Write a section for a blog post and try to cover all of the provided information about this section in your text.
61,"Create a detailed caption for an Instagram post about a discount. A proper caption should explain the product, offer the discount, and tell the user how to claim it."
62,Create a captivating Instagram caption based on the provided details. Try to think of as many captions as you can.
63,You are given a topic for an Instagram post. Help the post reach a broader audience by suggesting hashtags related to the post.
64,Use appropriate emojis to convey the meaning in the given text.
65,"The topic of a YouTube post has been described and based on the information, you need to write a hook for starting the post. A catchy hook will keep your readers interested so they keep reading. It would be great if you could come up with as many hooks as you can."
66,"Using the provided topic as a starting point, brainstorm ideas for videos that can be made about it on YouTube."
67,"You should choose a YouTube video title based on the video's content. A video's title tells viewers what to expect from it. It should be direct, honest, and clear. The title of the video needs to capture the attention of viewers, so do not use an unclear or ambiguous one."
68,"Choosing a name for your product or business YouTube channel is an important part of the process. Based on the description of the product or business, you should come up with some interesting names. Take some time to brainstorm your ideas."
69,Find the answer that best describes the underlined SAT word. Select the correct option and explain the meaning of the underlined word.
70,"Find synonyms for the given word. You need to write down how the provided synonyms differ from the original word in terms of meaning, usage, etc."
71,Discuss the origins and history of the word that has been given to you.
72,Give the provided brand a motto to use as a part of its marketing strategies.
73,A confirmation email should be written appropriately for the situation.
74,You need to write an email to negotiate your salary.
75,Write an email to attendees as a reminder that the event is coming up.
76,It would be helpful if you could suggest an acronym for the repository.
77,Write a step-by-step guide for resolving GitHub merge conflicts.
78,"One or more jobs can be run automatically by a workflow. The workflows are defined in the repository as YAML files and will run if an event occurs in the repository, as well as manually, or on a certain schedule.
Bring an example of a workflow that demonstrate the CI/CD features of GitHub Actions."
79,"The movie tagline is the film's advertising slogan, usually printed on posters prior to the official release. It is a short description or comment on a movie to capture the essence of the movie, and ultimately make you watch the movie. Here is an example:"
80,"You are given some reviews for a movie. Each video might have mentioned some negative or positive points about the movie. Read them carefully and extract the positive and negative points mentioned in all of the reviews. Then, make a list of these points and summarize them as positive points and negative points."
81,Give a brief summary of the movie or series' plot.
82,Decide whether children can watch the given movie. Mention what makes it inappropriate if you think they can't.
83,Write a short analysis of the cinematography in the movie.
84,Please let me know your thoughts on the given place and why you think it deserves to be visited.
85,"Consider the best time of year to visit the given city, and provide your reasons for choosing that time."
86,Make a questionnaire to help hotel guests write hotel reviews.
87,Make a list of the top places in the U.S. to visit at the given time.
88,Name the top cities in France that should not be missed. Include the best aspects of each place as well.
89,Answer the following question.
90,"You are given a question and two possible answers. The task is to evaluate each answer and determine if it is correct. If incorrect, explain why."
91,You are given two questions. Check if they are duplicates.
92,Design a programming problem related to the subject that has been given to you. Use some examples and constraints to improve your question.
93,Provide a Java solution to the following problem.
94,Think of topics that are most common in classic interview questions for a job in computer science.
95,You will need to guide this person through the scenario they have described for the interview.
96,You are given a programming problem and its implementation. Analyze the problem and implementation and explain the algorithm and approach used to solve the problem.
97,The given article should be checked for any scientific errors and corrected if necessary.
98,Summarize the article you have been given in a brief manner.
99,Improve the article using your knowledge of the topic in order to make it more informative.
100,Make the article available in a second language by translating it into it.
101,"An evaluation of the article's quality should be carried out. In order to do so, you should review the quality of the writing and the explanation of the topic."
102,Please answer the following question based on the information provided in the article.
103,Design a syllabus for the given course. Students should be given a list of the chapters with brief explanations of each chapter's purpose.
104,List the personality traits that are required to be successful in the given job.
105,Please list the courses that someone interested in the first course might like.
106,Come up with the courses that one is supposed to take in order to be an expert in a given field.
107,Create a daily itinerary based on the given information.
108,Give students tips on how to keep their nerves under control during class presentations.
109,You can easily make your holidays more eco-friendly by following these simple steps:
110,Think of an idea to help you win a challenge given to you. Write the steps you need to take to develop the idea as well.
111,"There are many creative projects we can build at home that are related to the given theme, so let's list some of them."
112,Make a list of the materials that will be required to build the given tool.
113,Provide a detailed explanation of the steps that are required in order to construct the given project.
114,Estimate the cost of supplies required to create the given project and calculate the total cost.
115,Answer the following literature question as accurately as possible based on your knowledge of literature for high school students.
116,Develop a mental exercise that can help people manage their anxiety and explain how it works.
117,Give me an idea of the mental exercises you do to inspire yourself.
118,Make a list of outdoor activities that are suitable for the given weather condition.
119,Please provide us with a list of the best conservation starter questions related to the weather.
120,"In relation to the given weather scenario, give some tips on how to adjust the travel plans with it."
121,Write a to-do list based on the given information.
122,Design a template table for keeping track of all subscriptions.
123,Plan an agenda for the daily standup meetings. Assign a time duration to each topic on the agenda.
124,Answer the following question.
125,What sound does this make?
126,Give a grammar tip on how to end a German verb.
127,"This is a test for the reading ability of French. Read the given story carefully, and then answer the question in the end."
128,Come up with healthy and easy dinner ideas for weeknights.
129,Provide a cooking hack for improving the flavor of the given food.
130,Make a list of snacks and foods to serve as party snacks on a game day!
131,Describe how to prepare the given food in your own words. Note down the ingredients you will need and the steps you will take to prepare them.
132,Suggest a recipe for a vegan dessert.
133,Design a medium-level sudoku puzzle.
134,Solve the given Sudoku puzzle.
135,Think of a motivational quote that you have read in a book. Try to keep it positive and sweet.
136,Choose the best books from the given genre.
137,Give a brief description of the book that you are given.
138,"In the event that a person enjoyed the book that was given, please suggest other books that they might also like."
139,Indicate the genre of the book to which it belongs.
140,Solve this equation.
141,Prove the given statement using your information.
142,"Based on the facts that have been provided, prove the following statement."
143,Verify the correctness of the given statement.
144,Provide a formula for computing the nth term in the given sequence
145,"Create a table listing all games that meet the specified criteria in the National Football League. Use the season, local time, game, and score as columns of the table."
146,"Using a table, compare the career overviews of the given players in Major League Baseball. Use ""|"" for separating the columns in the table."
147,You will be tested on your knowledge of classic witticisms and aphorisms by completing the given aphorism. Write the original quote as the answer.
148,A list of all movies that meet the criteria given should be compiled.
149,"Using a given amount, determine an appropriate tip."
150,Identify all words that match the pattern given.
151,Come up with words that rhyme with the given word.
152,Look for poems that mention the given object or character. The names of the poems and their poets should be written.
153,Respond to the last text in the chat using the correct emojis to convey your feelings.
154,"For answering the chat, think of a funny response you can use."
155,The last message in the chat is a partial response. You should complete and rewrite it.
156,Change the response to have a more empathic tone in the chat.
157,"Currently, there is a chat in which people are arranging a meeting in the future. Retrieve the meeting information from the conversation."
158,The given text must be classified as offensive or not offensive.
159,Give a brief summary of the intention of the dialogue that just happened.
160,Describe the content of the article in a brief manner.
161,Correct the transcription of an excerpt containing errors.
162,Take a look at the contract and extract the parties of the agreement from it.
163,"On the basis of the subject of the email, determine whether the email should be treated as spam or not."
164,"Classify the tweet into one of the following three categories: event, demo, or news. Event is a happening, often social or public, that people attend or are aware of. Demo is a  public showing or presentation of something, typically to promote or advertise it. And, news is information about recent events or happenings, especially as reported by news media."
165,"Give the news title a category. Pick a category from the list of News & Buzz, Travel, Style, Arts & Culture, Politics, Tech, and Science & Health."
166,"Classify the questions in the FAQ into Finding policy details, Change account settings, Filing a claim and viewing status, or Cancelling coverage."
167,Choose an appealing title for your post.
168,Give some examples of what people usually say in the given social situation.
169,You will be required to write a few questions from the given company's interview section.
170,"Based on the information provided, you need to estimate the average summary for the given job."
171,Describe the responsibilities of the given job.
172,Provide a list of the skills that may help you find the job.
173,Schedule the meetings based on the given informqation.
174,Find the directions between the given locations.
175,Give a brief explanation of the requested part of the paper.
176,Answer the question about the paper after reading it carefully.
177,Recommend some helpful activities or conversation starters to use at meetups to break the ice.
178,Convert the given HTML into Markdown format.
179,Extract the method that has been used in the research from the abstract of the paper. Give the exact sentences from the abstract that discuss the method.
180,You need to come up with the names of some of the papers that relate to the paper you are given.
181,"Create a short, concise summary of the paper based on its abstract."
182,You will need to compose the ABC notation for a given song.
183,"Categorize the given magazine based on its content into one of the categories: Politics, Entertainment News, Tech News, Business News, Parenting & Kids, Health & Healing, Cooking, Food & Wine, and Arts & Literature,"
184,Decide if the given email belongs to the Promotions or Social category.
185,The story of a movie has been described using many emojis. You need to guess the name of the movie based on the emojis.
186,Come up with an interesting idea for a new movie plot. Your plot should be described with a title and a summary.
187,"Change the first person to the third person in the given sentence. The meaning should be kept, but you can paraphrase it or expand it in order to have a better pose."
188,You should capitalize the sentence according to the guide.
189,Create alliterations by finding synonyms for words in the given sentence.
190,Convert the given description to a bash command.
191,Please prepare a table containing a summary of the information of the participants at the conference.
192,List the concepts that should be learned before approaching the given complex concept.
193,"Given a sentence that may be ambiguous, rewrite the sentence using less ambiguous words."
194,"Assess the sentiment of the given tweet and categorize it as Positive, Negative, or Neutral."
195,You are given a Python command and are required to convert it into Ruby.
196,You are given a sentence in first-order logic. Translate it into natural language.
197,You are given a search query and a document. Classify whether the document is relevant to the search query or not relevant.
198,Create a list of subtopics for the given topic.
199,Summarize the movie in a snarky way. Try to explain the movie in just one sentence.
200,Enter the words that satisfy the given condition.
201,Provide a name for the dish given the ingredients and instructions.
202,Summarize a meeting from the given list of bullet points. Be sure to convert shorthand into a first-hand account.
203,List a few popular songs from the given album.
204,Invent a new word based on a description of the word.
205,"Given a programming language and the name of a function, write a command to show how to use the function."
206,Provide a pleasant compliment based on the quality you have been given.
207,Create a brief resume introduction using the following information.
208,Make a list of adjectives that can be used to describe the given brand.
209,Someone gives you some information about where they want to go and what they enjoy seeing and doing. Describe a proper road trip for them and find the best stops and sctivities in the way.
210,Regex is a set of characters that define a search pattern. This kind of pattern is usually used by string-searching algorithms to find or replace strings or to validate inputs. Convert the natural english text to regex.
211,Write an engaging and well-written property listing description for selling a house. Address of the house and some of the details are given to you. Fill in the information gap with hallucinations if needed.
212,"Given a real estate listing description, extract the information and details of the property from the text. The details consist of address, basic house attributes, etc."
213,Review the property description and tell us what is good and what is bad about it and list its key takeaways.
214,List some of the top real estate marketing words to add value to the listing and engage more potential buyers.
215,Suggest some product bundles that are often purchased with a given product.
216,Create a template in markdown to create scope for Jira tickets. Members should use this template as a checklist to ensure they have included all the necessary information when creating a ticket.
217,"As part of software engineering, user stories describe what the user wants the system to do, while acceptance criteria describe the conditions a specific user story must meet. Create basic acceptance criteria based on the given user story."
218,"A user story is an informal, general explanation of a software feature written from the perspective of the end user or customer. Write a user story for a given software."
219,Write a Jira ticket for the given task.
220,Paraphrase the given text in an academic style.
221,Make a list of the pros and cons of the given decision.
222,Include important study notes and key points that someone should know about the given subject.
223,"Based on the given keywords, write a review of a restaurant."
224,Convert natural language into a list of turn-by-turn directions.
225,Provide an ESRB rating for the following game.
226,A color description has been provided. Find the CSS code associated with that color.
227,Identify and fix bugs in the given code and rewrite it
228,Make a list of common phrases for the given section of the paper.
229,We have described a scene from a movie that we have seen in the past. Find out what movie it is.
230,Take the product description and write a creative ad for it.
231,Translate the natural language description into a Google Sheets formula.
232,You are given a tweet and you should decide whether it's offensive or not.
233,"For a quick and efficient office workout, suggest a short routine."
234,Predict how many stars the author will give to the restaurant from a Yelp review.
235,"Categorize the Business into one of the Restaurants, Home Services, Auto Services and Miscellaneous based on its Specialties."
236,Notify me of any suggestions you may have for making the text more grammatically correct.
237,"Using the ingredients that are available, create a dinner recipe."
238,"Categorize the given product into one of Electronics, Computers, Smart Home, or Arts & Crafts departments."
239,Provide instructions for the given exercise.
240,Rewrite the text and correct the spelling errors.
241,Write down antonyms for the given word.
242,Write the HTML syntax for the required action.
243,Identify the programming language used to write the given code.
244,Decide which part of speech the underlined word belongs to.
245,Define what the underlined word means for kids.
246,Expand the given sentence and give it more details and depth.
247,"Extract the address of the property from the ""About this space"" section of Airbnb."
248,Design a simple training challenge on Strava that everyone could attend.
249,Suggest some names for a friendly group in telegram.
250,"Write what the pronunciation of the given word sounds like. Follow the ""Google pronunciation dictionary"" scheme for phonetic spelling."
251,Explain the meaning of the given phrase in simple terms. Use an example if possible. It would be helpful if you could give an example.
